# TF-IDF Weighting From http://wonosari.desa.id/kategori/kabar/
term,term_id,weight,corpus_id
poskamling,574,0.699921416588,corpus_18
banjir,958,0.611619547311,corpus_22
pembakaran,808,0.59674789561,corpus_16
ued-sp,742,0.574934402591,corpus_15
rastra,99,0.556692393715,corpus_1
paud,210,0.505840113405,corpus_3
muara,204,0.505840113405,corpus_3
suara,43,0.503016360692,corpus_0
kebakaran,777,0.502054654973,corpus_20
beras,63,0.477164908899,corpus_1
gambut,589,0.466174846614,corpus_11
mekarsari,28,0.457765618941,corpus_15
lomba,1080,0.422972536843,corpus_26
penilaian,392,0.420966035974,corpus_26
pengolahan,606,0.418211456835,corpus_11
sapon,846,0.412839361627,corpus_17
mtq,388,0.408995437177,corpus_13
kedisiplinan,980,0.395110565765,corpus_23
terpilih,332,0.390298840294,corpus_5
terbaik,411,0.386854630795,corpus_6
kpm,670,0.378991090036,corpus_14
gotong,125,0.359467714843,corpus_27
pelayanan,264,0.356649182323,corpus_23
perlengkapan,538,0.356397457166,corpus_9
kepentingan,132,0.349825899015,corpus_2
pemilihan,35,0.34682534883,corpus_5
pawai,1026,0.344393966894,corpus_28
qur,402,0.340829530981,corpus_13
an,347,0.340829530981,corpus_13
cabang,355,0.338497801946,corpus_6
rekapitulasi,505,0.337054177326,corpus_8
pleno,502,0.337054177326,corpus_8
gubernur,490,0.337054177326,corpus_8
murid,206,0.336896185878,corpus_24
propinsi,902,0.335207938973,corpus_19
kpw,889,0.335207938973,corpus_19
jamaludin,706,0.328704744483,corpus_17
nurul,1053,0.320041872925,corpus_25
ilmi,1041,0.320041872925,corpus_25
kerja,133,0.317075128004,corpus_27
organisasi,465,0.316527179939,corpus_7
royong,149,0.314556272699,corpus_27
kades,938,0.314410235655,corpus_21
pemanfaat,720,0.313600583231,corpus_15
rapat,39,0.311608850643,corpus_23
djamaluddin,247,0.310538922835,corpus_4
air,952,0.305809773656,corpus_22
005,1,0.300889293632,corpus_12
kepemimpinan,449,0.298158638787,corpus_7
nurhabibi,632,0.296299980627,corpus_12
camat,243,0.289979773772,corpus_17
mdta,1017,0.284363723883,corpus_24
madrasah,1016,0.284363723883,corpus_24
disalurkan,665,0.284243317527,corpus_14
tanah,227,0.283126016567,corpus_11
bantuan,61,0.281511178712,corpus_9
perangkat,945,0.27938960714,corpus_21
komunikasi,843,0.275226241085,corpus_17
tpq,233,0.270832431581,corpus_25
pemilih,319,0.268364205386,corpus_8
kunjungan,566,0.266894221265,corpus_19
buah,854,0.26372157597,corpus_18
allah,346,0.262938857788,corpus_29
rasyidah,271,0.260015901434,corpus_4
hutan,771,0.259163798249,corpus_16
non,1024,0.254818924361,corpus_25
formal,1005,0.254818924361,corpus_25
muhammad,494,0.252790632994,corpus_8
tenaga,907,0.251405954229,corpus_19
bumdes,879,0.251405954229,corpus_19
ahli,874,0.251405954229,corpus_19
pertanian,609,0.250926874101,corpus_11
jamhur,591,0.250926874101,corpus_11
kinerjanya,629,0.250334986874,corpus_21
bulanan,934,0.250334986874,corpus_21
sekolah,221,0.250334787833,corpus_9
rp,728,0.249690337604,corpus_15
kecamatan,250,0.246560118977,corpus_26
ta,1032,0.245995690638,corpus_28
aruf,996,0.245995690638,corpus_28
putri,401,0.242936588991,corpus_6
putra,400,0.242936588991,corpus_6
i,365,0.242936588991,corpus_6
sutomo,44,0.24260053518,corpus_0
saudara,42,0.24260053518,corpus_0
santri,1056,0.240031404694,corpus_25
kasih,188,0.239362249464,corpus_3
manfaat,83,0.238582454449,corpus_1
siskamling,578,0.237999984451,corpus_10
meresmikan,570,0.237999984451,corpus_10
01,551,0.237999984451,corpus_10
yatim,550,0.237598304777,corpus_9
terlantar,548,0.237598304777,corpus_9
potensi,471,0.237395384955,corpus_7
